PERSONNUM,ENTEREDONDTM,EVENTDATE,STARTDTM,ENDDTM,ORIGINALDATE,TIMEINSECONDS,DURATIONINSECONDS,MONEYAMOUNT,PAYCODENAME,LABORLEVELNAME1,LABORLEVELNAME2,LABORLEVELNAME3,LABORLEVELNAME4,LABORLEVELNAME5,LABORLEVELNAME6,LABORLEVELNAME7,FROMPAYCODENAME,FROMLABORLEVELNM1,FROMLABORLEVELNM2,FROMLABORLEVELNM3,FROMLABORLEVELNM4,FROMLABORLEVELNM5,FROMLABORLEVELNM6,FROMLABORLEVELNM7,WORKRULENAME,DEDUCTRULENAME,HOLIDAYNAME,TIMESHEETITEMTYPE,OVERRIDETYPE,STARTREASON,ENDREASON,PAIDSW,IMPACTSACCRUALSSW,HASCOMMENTSW,EXCEPTIONSW,CANCELDEDUCTSW,SCHEDWORKRULESW,CURRPAYPERIODSTART,CURRPAYPERIODEND,PREVPAYPERIODSTART,PREVPAYPERIODEND,NEXTPAYPERIODSTART,NEXTPAYPERIODEND,EMPLOYEEID,TIMESHEETITEMID,HOLIDAYID,TMSHTITEMTYPEID,PAYCODEID,DATASOURCEID,STARTPUNCHEVENTID,ENDPUNCHEVENTID,PERSONID,CLIENTUSERNAME,FUNCTIONCODE,DEVICENAME,ADDTOTCETOTSW,FROMADDTOTCETOTSW,VISIBLEINTCSCHEDSW,FUNCTAREAID
17104,5/29/18 14:09,5/14/18 0:00,5/14/18 13:00,,,10800,10800,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964853,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/15/18 0:00,5/15/18 13:00,,,10800,10800,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964854,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/16/18 0:00,5/16/18 10:00,,,21600,21600,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964855,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/17/18 0:00,5/17/18 10:00,,,21600,21600,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964856,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/21/18 0:00,5/21/18 14:00,,,7200,7200,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964857,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/22/18 0:00,5/22/18 14:00,,,7200,7200,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964858,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/23/18 0:00,5/23/18 14:00,,,7200,7200,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964859,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/24/18 0:00,5/24/18 8:00,,,7200,7200,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964860,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,5/29/18 14:09,5/25/18 0:00,5/25/18 8:00,,,10800,10800,,,34,202,0,0,0,0,0,,,,,,,,,,,,WorkedDuration,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5964861,,30,,222090,,,667,19202,E,10.20.12.67,,,,2
17104,12/12/16 8:14,11/28/16 0:00,,,,3600,3600,,Annual Leave,,,,,,,,,,,,,,,,,,,PayCodeEdit,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,5216604,,20,262,197645,,,667,16829,E,10.10.11.24,1,,1,2
17104,9/28/18 15:09,9/17/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137356,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/17/18 0:00,9/17/18 7:00,,,25200,25200,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137388,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/18/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137358,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/18/18 0:00,9/18/18 7:00,,,25200,25200,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137389,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/19/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137360,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/19/18 0:00,9/19/18 7:00,,,21600,21600,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137390,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/20/18 0:00,,,,21600,21600,,Annual Leave,,,,,,,,,,,,,,,,,,,PayCodeEdit,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137384,,20,262,229544,,,667,17104,E,10.10.11.53,1,,1,2
17104,9/28/18 15:09,9/20/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137385,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/20/18 0:00,9/20/18 7:00,,,10800,10800,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,1,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137386,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/24/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137377,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/24/18 0:00,9/24/18 7:00,,,25200,25200,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137391,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/25/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137375,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/25/18 0:00,9/25/18 7:00,,,21600,21600,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137392,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/26/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137371,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/26/18 0:00,,,,3600,3600,,Annual Leave,,,,,,,,,,,,,,,,,,,PayCodeEdit,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137381,,20,262,229544,,,667,17104,E,10.10.11.53,1,,1,2
17104,9/28/18 15:09,9/26/18 0:00,9/26/18 7:00,,,21600,21600,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137383,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/27/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137373,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/27/18 0:00,,,,7200,7200,,Annual Leave,,,,,,,,,,,,,,,,,,,PayCodeEdit,,,,1,0,1,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137382,,20,262,229544,,,667,17104,E,10.10.11.53,1,,1,2
17104,9/28/18 15:09,9/27/18 0:00,9/27/18 7:00,,,3600,3600,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137395,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/28/18 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137369,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,9/28/18 15:09,9/28/18 0:00,9/28/18 8:00,,,25200,25200,,,,,,,,,,,,,,,,,,,,,WorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,6137380,,30,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,6/8/20 8:24,5/25/20 0:00,,,,32400,32400,,Holiday,,,,,,,,,,,,,,,,,,,PayCodeEdit,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,7064460,,20,158,229544,,,667,17104,E,10.10.11.53,1,,1,2
17104,6/8/20 8:24,5/25/20 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,7064462,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,6/8/20 8:24,6/4/20 0:00,,,,32400,32400,,Mgmt Leave,,,,,,,,,,,,,,,,,,,PayCodeEdit,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,7064463,,20,161,229544,,,667,17104,E,10.10.11.53,1,,1,2
17104,6/8/20 8:24,6/4/20 0:00,,,,0,0,,,,,,,,,,,,,,,,,,,,,AbsenceAssertion,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,7064465,,1,,229544,,,667,17104,E,10.10.11.53,,,,2
17104,4/28/15 7:12,5/2/15 0:00,4/19/15 0:00,5/2/15 0:00,,,,,,,,,,,,,,,,,,,,,,,,PayFromSchedule,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4449929,,2,,171488,,,667,SuperUser,G,10.10.4.162,,,,3
17104,,1/1/15 0:00,,,,0,,,Holiday,,,,,,,,,,,,,,,,,,New Year's Day 2015,HolidayHours,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4301891,966,50,158,,,,667,,,,1,,1,
17104,,1/5/15 0:00,1/5/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4307408,,56,,,,,667,,,,,,,
17104,,1/6/15 0:00,1/6/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4307963,,56,,,,,667,,,,,,,
17104,,1/7/15 0:00,1/7/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4310114,,56,,,,,667,,,,,,,
17104,,1/8/15 0:00,1/8/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4310115,,56,,,,,667,,,,,,,
17104,,1/9/15 0:00,1/9/15 8:00,,,28800,28800,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4310116,,56,,,,,667,,,,,,,
17104,,1/12/15 0:00,1/12/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4314133,,56,,,,,667,,,,,,,
17104,,1/13/15 0:00,1/13/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4314634,,56,,,,,667,,,,,,,
17104,,1/14/15 0:00,1/14/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4316028,,56,,,,,667,,,,,,,
17104,,1/15/15 0:00,1/15/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4316277,,56,,,,,667,,,,,,,
17104,,1/19/15 0:00,,,,0,,,Holiday,,,,,,,,,,,,,,,,,,Martin Luther King Day 2015,HolidayHours,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4322434,967,50,158,,,,667,,,,1,,1,
17104,,1/20/15 0:00,1/20/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4325116,,56,,,,,667,,,,,,,
17104,,1/21/15 0:00,1/21/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4327149,,56,,,,,667,,,,,,,
17104,,1/22/15 0:00,1/22/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4327150,,56,,,,,667,,,,,,,
17104,,1/23/15 0:00,1/23/15 8:00,,,28800,28800,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4327151,,56,,,,,667,,,,,,,
17104,,1/26/15 0:00,1/26/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4333015,,56,,,,,667,,,,,,,
17104,,1/27/15 0:00,1/27/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4334765,,56,,,,,667,,,,,,,
17104,,1/28/15 0:00,1/28/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4335068,,56,,,,,667,,,,,,,
17104,,1/29/15 0:00,1/29/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4335346,,56,,,,,667,,,,,,,
17104,,2/2/15 0:00,2/2/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4340239,,56,,,,,667,,,,,,,
17104,,2/3/15 0:00,2/3/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4342043,,56,,,,,667,,,,,,,
17104,,2/4/15 0:00,2/4/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4343109,,56,,,,,667,,,,,,,
17104,,2/5/15 0:00,2/5/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4343110,,56,,,,,667,,,,,,,
17104,,2/6/15 0:00,2/6/15 8:00,,,28800,28800,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4343111,,56,,,,,667,,,,,,,
17104,,2/9/15 0:00,2/9/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4349942,,56,,,,,667,,,,,,,
17104,,2/10/15 0:00,2/10/15 7:00,,,32400,32400,,,,,,,,,,,,,,,,,,,,,TotaledScheduledWorkedDuration,,,,1,0,0,0,0,0,12/20/20 0:00,1/2/21 0:00,12/6/20 0:00,12/19/20 0:00,1/3/21 0:00,1/16/21 0:00,667,4350697,,56,,,,,667,,,,,,,
